epoch,lls,kls,elbos,errors
63,-3266.3716322365763,2364.521097502316,-5630.892729738893,0.16567085237837087
64,-4670.939525605463,2363.296577151992,-7034.236102757455,0.2974506224548023
65,-5082.710156541967,2350.3811182507015,-7433.091274792669,0.3900278640979323
66,-1592.0737151593728,2304.307766191312,-3896.381481350685,0.21585105354978368
67,-2971.637127001819,2315.086321381469,-5286.723448383288,0.13199954056805455
68,-992.4183478856016,2295.15084093474,-3287.5691888203414,0.13052693484703812
69,-2969.305569000197,2241.160117866161,-5210.465686866358,0.2998001942436297
70,-2677.8872883252043,2221.1880083710575,-4899.075296696262,0.25415377576761744
71,-915.7955783849352,2210.761641055211,-3126.557219440146,0.14264775955540263
72,-3565.426982490736,2173.486509009227,-5738.913491499963,0.2986705270819834
73,-1820.8940541018794,2173.185684922645,-3994.0797390245243,0.24968344744198484
74,-2760.0094271926782,2161.9469184699283,-4921.9563456626065,0.26407240855853154
75,-2175.1732185005103,2128.9751302088744,-4304.148348709385,0.16544758730406184
76,-639.6518665318553,2106.5158111232745,-2746.16767765513,0.1539983062241289
77,-3817.5635539244868,2109.4767933904186,-5927.040347314905,0.33104732390887126
78,-1414.3332818161846,2154.338707531254,-3568.6719893474383,0.2286386292265698
79,-6591.964184925429,2087.852336666967,-8679.816521592396,0.18788611460855215
80,-5661.821301210981,2031.1462659384342,-7692.967567149415,0.3065410370782272
81,-4617.390785580359,2045.6162011941879,-6663.006986774547,0.3107224384500405
82,-2629.135366786831,2046.8121736594894,-4675.947540446321,0.22090247919153824
83,-859.7644636562022,2040.7698029588162,-2900.534266615018,0.1638163892920718
84,-1482.5464229913725,2046.6820602503053,-3529.228483241678,0.15620933077084767
85,-4708.039471606746,2017.924247521763,-6725.963719128509,0.2926116397127366
86,-1965.040554391203,1984.761980125052,-3949.802534516255,0.2594736046730206
87,-4198.418952916205,1994.0063856861889,-6192.425338602394,0.24138052886141476
88,-3028.5026582258347,1962.592422171021,-4991.095080396855,0.30495684504329096
89,-4153.389688125359,2000.699669289544,-6154.089357414903,0.3037098284702836
90,-7027.626414611883,1928.9200119933157,-8956.546426605199,0.3546112884298301
91,-1777.4991850338577,1946.869091551704,-3724.368276585562,0.2509511794898094
92,-793.8036018117967,1953.943990887802,-2747.747592699599,0.18004628340911963
93,-423.7975947586209,1945.7706672879651,-2369.568262046586,0.13913701812257245
94,-3043.0405924276292,1918.5963735186908,-4961.63696594632,0.14167804021541475
95,-7131.117442932592,1892.84971763456,-9023.967160567152,0.19327766111097033
96,-725.5651530076659,1899.4083229239723,-2624.973475931638,0.1746401105705615
97,-1615.076013112719,1863.6353300191727,-3478.7113431318917,0.19896714345194227
98,-2079.3825476772727,1879.303218468573,-3958.6857661458457,0.20251697185050965
99,-766.1041342230773,1855.3127500748965,-2621.416884297974,0.13499009053440073
